                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     59,                0.81154,                 0.7213,                 1.2301,                 0.8514,                0.70094,                0.83605,                0.58537,                 1.2468,                 1.1534,                 1.8152,             3.8748e-05,             3.8748e-05,             3.8748e-05
                     60,                 0.7488,                 0.6428,                 1.1816,                 0.8403,                0.71614,                0.84172,                0.60134,                 1.2432,                 1.1561,                  1.808,             3.7847e-05,             3.7847e-05,             3.7847e-05
                     61,                0.77345,                0.70887,                  1.182,                0.86495,                0.68099,                0.82714,                0.59123,                  1.237,                 1.1748,                 1.8153,             3.6946e-05,             3.6946e-05,             3.6946e-05
                     62,                0.75117,                 0.6438,                 1.1669,                0.84377,                0.70792,                0.85533,                0.60632,                 1.2199,                 1.1824,                  1.821,             3.6045e-05,             3.6045e-05,             3.6045e-05
                     63,                0.74893,                0.68996,                 1.1793,                0.88012,                0.70164,                0.85618,                0.60882,                 1.2444,                 1.1158,                 1.8407,             3.5144e-05,             3.5144e-05,             3.5144e-05
                     64,                0.74266,                0.62955,                 1.1678,                0.87133,                0.69543,                0.83829,                0.59611,                 1.2524,                 1.1571,                 1.8505,             3.4243e-05,             3.4243e-05,             3.4243e-05
                     65,                0.73623,                0.64488,                 1.1682,                0.81979,                0.71222,                0.85294,                0.60739,                 1.2588,                 1.1754,                 1.8505,             3.3342e-05,             3.3342e-05,             3.3342e-05
                     66,                0.73461,                0.61313,                 1.1691,                0.85295,                0.69024,                0.84511,                0.60147,                 1.2728,                 1.1287,                 1.9004,             3.2441e-05,             3.2441e-05,             3.2441e-05
                     67,                0.73173,                 0.6014,                 1.1767,                0.84398,                0.69748,                 0.8366,                0.58779,                 1.2668,                 1.1663,                 1.9122,             3.1541e-05,             3.1541e-05,             3.1541e-05
                     68,                0.74405,                0.61897,                  1.165,                0.80241,                0.73837,                0.84012,                0.60058,                 1.2573,                 1.1257,                 1.8906,              3.064e-05,              3.064e-05,              3.064e-05
                     69,                 0.7276,                0.60979,                 1.1471,                0.77947,                0.74644,                0.84171,                0.59512,                 1.2661,                 1.1389,                 1.9059,             2.9739e-05,             2.9739e-05,             2.9739e-05
                     70,                0.71535,                0.59546,                 1.1509,                0.85129,                0.67701,                0.83447,                0.59901,                 1.2446,                 1.1226,                 1.9012,             2.8838e-05,             2.8838e-05,             2.8838e-05
                     71,                0.71174,                0.57367,                 1.1429,                0.88536,                 0.6853,                0.84559,                0.60976,                 1.2421,                 1.1304,                 1.8922,             2.7937e-05,             2.7937e-05,             2.7937e-05
                     72,                0.69287,                0.57379,                 1.1377,                0.84589,                0.68889,                0.82012,                0.57727,                 1.2762,                 1.2001,                 1.9095,             2.7036e-05,             2.7036e-05,             2.7036e-05
                     73,                0.69279,                0.58996,                 1.1224,                0.88108,                0.68673,                0.84532,                0.59684,                 1.2677,                 1.1225,                 1.8915,             2.6135e-05,             2.6135e-05,             2.6135e-05
                     74,                0.70508,                0.59096,                 1.1412,                0.88511,                0.68929,                 0.8574,                0.60567,                  1.267,                 1.0989,                 1.9026,             2.5234e-05,             2.5234e-05,             2.5234e-05
                     75,                0.66102,                0.56327,                  1.116,                0.85061,                0.71031,                0.85106,                 0.6069,                 1.2503,                 1.1333,                  1.904,             2.4333e-05,             2.4333e-05,             2.4333e-05
                     76,                0.67929,                 0.5566,                  1.124,                0.85248,                0.72419,                0.85121,                0.60236,                 1.2479,                 1.1039,                 1.9182,             2.3432e-05,             2.3432e-05,             2.3432e-05
                     77,                0.66876,                0.55064,                 1.1154,                0.83268,                0.73637,                0.83925,                0.59473,                 1.2399,                 1.1006,                 1.9142,             2.2532e-05,             2.2532e-05,             2.2532e-05
                     78,                 0.6832,                0.56221,                 1.1184,                 0.8391,                0.71977,                0.84802,                0.59181,                 1.2542,                  1.173,                 1.9221,             2.1631e-05,             2.1631e-05,             2.1631e-05
                     79,                0.65221,                0.54383,                 1.1298,                0.88664,                0.68873,                0.83788,                0.59093,                 1.2409,                 1.1059,                 1.9337,              2.073e-05,              2.073e-05,              2.073e-05
                     80,                0.67027,                0.55715,                 1.1233,                0.84209,                0.74851,                0.83261,                0.59512,                 1.2365,                 1.0645,                 1.9231,             1.9829e-05,             1.9829e-05,             1.9829e-05
                     81,                0.66567,                0.52589,                  1.115,                0.88009,                0.73112,                0.85145,                0.60121,                  1.252,                  1.081,                 1.9231,             1.8928e-05,             1.8928e-05,             1.8928e-05
                     82,                0.64626,                0.53341,                 1.0949,                0.87325,                0.71276,                0.83697,                0.59762,                   1.25,                 1.0649,                 1.9179,             1.8027e-05,             1.8027e-05,             1.8027e-05
                     83,                0.64212,                0.52071,                 1.1003,                0.79945,                0.75458,                0.84267,                0.60497,                 1.2489,                 1.0874,                 1.9295,             1.7126e-05,             1.7126e-05,             1.7126e-05
                     84,                 0.6343,                0.51189,                 1.1195,                0.81618,                0.73677,                0.83451,                0.59798,                 1.2616,                  1.129,                 1.9673,             1.6225e-05,             1.6225e-05,             1.6225e-05
                     85,                0.63576,                0.50077,                 1.0975,                0.89225,                0.68032,                0.83231,                0.59003,                 1.2587,                 1.1093,                 1.9641,             1.5324e-05,             1.5324e-05,             1.5324e-05
                     86,                0.65422,                0.53697,                 1.1188,                0.88483,                0.68762,                0.82536,                0.58117,                 1.2619,                 1.1046,                 1.9788,             1.4424e-05,             1.4424e-05,             1.4424e-05
                     87,                0.62226,                 0.4857,                 1.0835,                 0.8965,                0.67875,                0.84887,                0.60421,                 1.2511,                 1.0709,                 1.9685,             1.3523e-05,             1.3523e-05,             1.3523e-05
                     88,                0.61075,                0.50448,                 1.0871,                0.83604,                0.72681,                0.84572,                 0.6098,                 1.2482,                 1.0742,                 1.9588,             1.2622e-05,             1.2622e-05,             1.2622e-05
                     89,                 0.6086,                0.49038,                 1.0629,                0.88408,                0.70143,                0.84066,                0.60959,                 1.2416,                 1.0806,                 1.9624,             1.1721e-05,             1.1721e-05,             1.1721e-05
                     90,                0.61754,                0.47081,                 1.0946,                0.89167,                0.71244,                0.85864,                0.60635,                 1.2491,                 1.0726,                 1.9713,              1.082e-05,              1.082e-05,              1.082e-05
                     91,                0.50275,                0.33126,                 1.0605,                0.85458,                0.72196,                0.84512,                0.60994,                 1.2499,                 1.0819,                 1.9773,              9.919e-06,              9.919e-06,              9.919e-06
                     92,                0.48261,                0.32365,                 1.0364,                0.87416,                0.72054,                0.84518,                0.60672,                 1.2512,                  1.076,                  1.967,             9.0181e-06,             9.0181e-06,             9.0181e-06
                     93,                0.46605,                0.31172,                 1.0286,                0.89021,                0.71567,                0.84463,                0.60922,                 1.2513,                 1.0753,                 1.9747,             8.1172e-06,             8.1172e-06,             8.1172e-06
                     94,                0.48414,                0.30644,                  1.023,                0.87062,                0.72009,                0.84481,                0.61441,                 1.2448,                 1.0657,                 1.9911,             7.2163e-06,             7.2163e-06,             7.2163e-06
                     95,                0.48608,                0.31585,                  1.034,                0.85256,                0.72561,                0.84296,                0.61162,                 1.2503,                 1.0691,                 2.0059,             6.3154e-06,             6.3154e-06,             6.3154e-06
                     96,                0.45947,                0.29455,                 1.0147,                 0.8608,                0.72617,                0.84405,                0.61013,                 1.2528,                 1.0609,                 2.0012,             5.4145e-06,             5.4145e-06,             5.4145e-06
                     97,                0.45654,                0.30112,                 1.0163,                 0.8557,                0.73184,                0.84784,                0.61469,                 1.2448,                 1.0569,                 1.9962,             4.5136e-06,             4.5136e-06,             4.5136e-06
                     98,                0.44819,                0.30229,                 1.0188,                0.88201,                0.71933,                0.84832,                0.61346,                 1.2397,                 1.0435,                 1.9937,             3.6127e-06,             3.6127e-06,             3.6127e-06
                     99,                0.46365,                0.30223,                 1.0146,                0.88096,                 0.7231,                0.84357,                0.60607,                 1.2437,                 1.0533,                 2.0093,             2.7118e-06,             2.7118e-06,             2.7118e-06
                    100,                0.45498,                0.30548,                 1.0192,                0.88225,                0.72104,                0.84295,                0.60693,                 1.2454,                 1.0497,                 2.0068,             1.8109e-06,             1.8109e-06,             1.8109e-06
